city,population,region,about,image
Tetouan,"380,787",Tanger-Tetouan-Al Hoceima,"Tétouan , also known as Tettawen, is a city in northern Morocco. It lies along the Martil Valley and is one of the two major ports of Morocco on the Mediterranean Sea, a few miles south of the Strait of Gibraltar, and about 60 kilometres  E.S.E. of Tangier. In the 2014 Moroccan census, the city recorded a population of 380,787 inhabitants. It is part of the administrative division Tanger-Tetouan-Al Hoceima.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/A_view_of_Bouanane%2C_a_popular_destination_in_Tetouan._.jpg/275px-A_view_of_Bouanane%2C_a_popular_destination_in_Tetouan._.jpg
Temara,"313,510",Rabat-Salé-Kénitra,"Temara  is a coastal city in Morocco. It is located in the region of Rabat-Salé-Kénitra, directly south of Rabat on the Atlantic coast, in the suburban area of the capital. The city with 313,510 inhabitants as of 2014 is the capital of Skhirate-Témara Prefecture. It is twinned with Saint Germain en Laye, France. The city has beaches and a small pleasure port.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Temara_plage.JPG/275px-Temara_plage.JPG
Safi,"308,508",Marrakesh-Safi,"Safi or Asfi  is a city in western Morocco on the Atlantic Ocean. It is the capital of Asfi Province. It recorded a population of 308,508 in the 2014 Moroccan census. The city was occupied by the Portuguese Empire from 1488 to 1541, was the center of Morocco's weaving industry, and became a fortaleza of the Portuguese Crown in 1508. Safi is the main fishing port for the country's sardine industry, and also exports phosphates, textiles and ceramics. During the Second World War, Safi was the site of Operation Blackstone, one of the landing sites for Operation Torch.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Safi_1.png/300px-Safi_1.png
Mohammedia,"208,612",Casablanca-Settat,"Mohammedia , known until 1960 as Fedala , is a port city on the west coast of Morocco between Casablanca and Rabat in the region of Casablanca-Settat. It hosts the most important oil refinery of Morocco, the Samir Refinery, which makes it the center of the Moroccan petroleum industry. It has a population of 208,612 according to the 2014 Moroccan census.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Grand_complexe_commercial_avec_r%C3%A9sidence_%C3%A0_Mohamedia_%28Fdala%29.JPG/275px-Grand_complexe_commercial_avec_r%C3%A9sidence_%C3%A0_Mohamedia_%28Fdala%29.JPG
Khouribga,"196,196",Béni Mellal-Khénifra,"Khouribga  is the capital of Khouribga Province in the Béni Mellal-Khénifra region, Morocco. With a population of 196,196 , Khouribga owes its growth to the phosphate deposits nearby.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Khouribga_Montage_-_Se7enthsky.jpg/250px-Khouribga_Montage_-_Se7enthsky.jpg
El Jadida,"194,934",Casablanca-Settat,"El Jadida  is a major port city on the Atlantic coast of Morocco, located 96 kilometres  south of the city of Casablanca, in the province of El Jadida and the region of Casablanca-Settat. It has a population of 170,956 as of 2023.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Forteresse_Jadida_01.JPG/275px-Forteresse_Jadida_01.JPG
Beni Mellal,"192,676",Béni Mellal-Khénifra,"Beni Mellal  is a city in north-central Morocco. It is the capital of the Béni Mellal-Khénifra Region and has a population of 192,676 . It sits at the foot of Jbel Tassemit , next to the plains of Beni Amir. The modern town dates back to 1688, when Moulay Isma'il founded a kasbah .",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Beni_mellal_hh.jpg/275px-Beni_mellal_hh.jpg
Nador,"161,726",Oriental,"Nador  is a coastal city and provincial capital in the northeastern Rif region of Morocco with a population of about 161,726 .",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/NadorPaseo.jpg/275px-NadorPaseo.jpg
Dar Bouazza,"151,373",Casablanca-Settat,"Dar Bouazza  is a municipality in Nouaceur Province, Casablanca-Settat, Morocco. It is a rapidly growing suburb of Casablanca located about 20 km west of that city. Dar Bouazza covers an area of 48.36 km2 and recorded a population of 151,373 in the 2014 Moroccan census.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Tamaris_beach%2C_Dar_bouazza.JPG/250px-Tamaris_beach%2C_Dar_bouazza.JPG
Taza,"148,456",Fès-Meknès,"Taza  is a city in northern Morocco occupying the corridor between the Rif mountains and Middle Atlas mountains, about 120 km east of Fez and 150 km south of Al Hoceima. It recorded a population of 148,406 in the 2019 Moroccan census and is the capital of Taza Province.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Taza_-_Maroc.jpg/275px-Taza_-_Maroc.jpg
Settat,"142,250",Casablanca-Settat,"Settat  is a city in Morocco between the national capital Rabat and Marrakesh. Settat is located 83.9 km  by road south of the centre of Casablanca, roughly an hour's drive. It is the capital of Settat Province and is its largest city in both size and population. According to the 2014 Moroccan census, it had a population of 142,250 people, up from 116,570 people in the 2004 census. Settat is 370 m  above sea level, built on a plateau surrounded by foothills in all directions.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/CentreSettat.jpg/275px-CentreSettat.jpg
Berrechid,"136,634",Casablanca-Settat,"Berrechid  is a town and municipality in Berrechid Province of the Casablanca-Settat region of Morocco. It recorded a population of 136,634 inhabitants in the 2014 Moroccan census. At the time of the 2004 census, the commune had a total population of 89,830 people living in 18,808 households.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Berrechid_monument.jpg/250px-Berrechid_monument.jpg
Khemisset,"131,542",Rabat-Salé-Kénitra,"Khemisset  is a city in northern Morocco with a population of 131,542 recorded in the 2014 Moroccan census. It is situated on the A2 motorway between Rabat  and Meknès , and is the capital of Khémisset Province.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Khemisset%2C_Morocco_-_panoramio_%283%29.jpg/275px-Khemisset%2C_Morocco_-_panoramio_%283%29.jpg
Inezgane,"130,333",Souss-Massa,"Inezgane  is the capital of Inezgane-Aït Melloul Prefecture located on the north bank of the Sous River, about 11.5 km  south of Agadir, on the Atlantic Ocean coast of Morocco. It is in some ways a suburb to the larger Agadir, but unlike the tourism-centered Agadir, Inezgane is a typical Moroccan city. Located where the N1, N8 and N10 highways meet, Inezgane is an important transport hub in the region of Souss-Massa. The record of the highest temperarures in Inezgane , 51.7 °C , is disputed.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Inezgane_Transport_Centre.jpg/250px-Inezgane_Transport_Centre.jpg
Ksar El Kebir,"126,617",Tanger-Tetouan-Al Hoceima,"Ksar el-Kebir , also known as al-Qasr al-Kabir, is a city in northwestern Morocco, about 160 km north of Rabat, 32 km east of Larache and 110 km south of Tangier. It recorded a population of 126,617 in the 2014 Moroccan census.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/%D8%A7%D9%84%D9%82%D8%B5%D8%B1_%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1.JPG/275px-%D8%A7%D9%84%D9%82%D8%B5%D8%B1_%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1.JPG
Larache,"125,008",Tanger-Tetouan-Al Hoceima,"Larache  is a city in northwestern Morocco. It is on the Moroccan coast, where the Loukkos River meets the Atlantic Ocean. Larache is one of the most important cities of the Tanger-Tetouan-Al Hoceima region.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Larache_de_nuit_%2814161711729%29.jpg/275px-Larache_de_nuit_%2814161711729%29.jpg
Guelmim,"118,318",Guelmim-Oued Noun,"Guelmim  is a city in southern Morocco, often called Gateway to the Desert. It is the capital of the Guelmim-Assif Noun region which includes southern Morocco  and the northeastern corner of Western Sahara. The population of the city was 187,808 as of the 2014 Moroccan census, making it the largest city in the region. The N1 and N12 highways cross at Guelmim and link it to the nearby region of Souss-Massa.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Bab.Guelmim.jpg/275px-Bab.Guelmim.jpg
Khenifra,"117,510",Béni Mellal-Khénifra,"Khenifra  is a city in northern central Morocco, surrounded by the Atlas Mountains and located on the Oum Er-Rbia River. National Highway 8 also goes through the town. The population, as of a 2019 census, was 228,567.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Khenifra_Amazigh.JPG/275px-Khenifra_Amazigh.JPG
Berkane,"109,237",Oriental,"Berkane  is a city in northeastern Morocco, limited by the Mediterranean to the north, the Kis river  and Oujda Province in the east, Nador Province to the west, and Taourirt Province in the south. It is the capital of Berkane Province.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Pr%C3%A9fecture_de_la_Province_de_Berkane_-_Pasc5.jpg/275px-Pr%C3%A9fecture_de_la_Province_de_Berkane_-_Pasc5.jpg
Taourirt,"103,398",Oriental,Taourirt  is a town in Taourirt Province in the northern part of Morocco. It is located in the Oriental region about 100 km west to the city of Oujda.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Taourirt_Maroc_001.JPG/275px-Taourirt_Maroc_001.JPG
Bouskoura,"103,026",Casablanca-Settat,"Bouskoura  is a city in Morocco, situated in the suburb area of Casablanca. In year 2020 it had a population of 138,699 inhabitants, up from 58,312 inhabitants in the 2004 census. It has an important industrial zone.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/250px-Morocco_relief_location_map.jpg
Fquih Ben Salah,"102,019",Béni Mellal-Khénifra,"Fquih Ben Salah  is a city in central Morocco, located in the region of Béni Mellal-Khénifra. According to the 2014 Moroccan census, it has a population of 205,720, up from 128,446 in 2004. Its main economic activity is agriculture.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/300px-Morocco_relief_location_map.jpg
Oued Zem,"95,267",Béni Mellal-Khénifra,"Oued Zem is a Moroccan city located in central Morocco, in the Chaouia-Ouardigha region in the Khouribga province, on an area of 75,000 hectares between the axis of Casablanca, Beni Mellal and between the axis of Rabat, Marrakech, with a population of 83,970 people according to the 2004 census. The city is rich in phosphate, iron, and marble.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/%D8%B4%D8%A7%D8%B1%D8%B9_%D8%A7%D9%84%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1.jpg/275px-%D8%B4%D8%A7%D8%B1%D8%B9_%D8%A7%D9%84%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1.jpg
El Kelaa Des Sraghna,"95,224",Marrakesh-Safi,"Kalaat Sraghna Arabic: قلعة السراغنة, romanized: qalʿat as-sarāḡina, also Kelaat Sraghna, El Kelaa des Sraghna, or El Kelaa des Srarhna) is a small city in central Morocco. The economy of the town is mostly based on agriculture, the growing of olive trees being predominant.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Jardin_Central_Kelaat_Sraghna_2011_by_charaf_bellakhdim.jpg/250px-Jardin_Central_Kelaat_Sraghna_2011_by_charaf_bellakhdim.jpg
Sidi Slimane,"92,989",Rabat-Salé-Kénitra,Sidi Slimane  is a small city in the northwestern centre of Morocco in the Rabat-Salé-Kénitra economic region. It is the administrative headquarters for Sidi Slimane Province and is located between the major cities of Kenitra and Meknes.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/300px-Morocco_relief_location_map.jpg
Errachidia,"92,374",Drâa-Tafilalet,"Errashidia , formerly known as Ksar es-Souk,  is a city in Morocco, located in the Errachidia Province, and is the capital of the Drâa-Tafilalet region.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Inbound798505067365682367.jpg/250px-Inbound798505067365682367.jpg
Guercif,"90,880",Oriental,"Guercif  is a town and municipality in Guercif Province, Oriental, Morocco. It is the province's capital. According to the 2014 census the municipality had a population of 90,880 people living in 18,779 households.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Guercif-lkhessa.jpg/124px-Guercif-lkhessa.jpg
Oulad Teima,"89,387",Souss-Massa,"Oulad Teima also known as Houara  is a city in Taroudant Province, Souss-Massa, Morocco. According to the 2014 Moroccan census it had a population of 89,387, up from 66,183 in the 2004 census.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Souss-Massa_region_locator_map.svg/250px-Souss-Massa_region_locator_map.svg.png
Ben Guerir,"88,626",Marrakesh-Safi,"Ben Guerir  is a university town and military town that serves as the capital of Rehamna Province in central Morocco, in the Marrakesh-Safi region. it hosts Mohammed VI Polytechnic University and Ben Guerir Air Base. The city is known for the production of phosphate rock, OCP Group announced plans to make Ben Guerir into a green city. According to the 2014 Moroccan census Ben Guerir has a population of 88,626 inhabitants, up from 62,693 in 2004., The city is in the territory of the Rahamna tribe.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Marrakech-Safi_region_locator_map.svg/200px-Marrakech-Safi_region_locator_map.svg.png
Tifelt,"86,709",Rabat-Salé-Kénitra,"Tifelt  is a town in northwestern Morocco, west of Khemisset and east of Rabat.  Tifelt is in a region of Morocco that is rich with ancient history, including settlements by Berbers, Phoenicians and Romans during the first millennium BC. The nearest such major settlements are in Rabat and Volubilis. Tifelt is between the cities of Rabat and Khemisset",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Rabat_Sale_Kenitra_region_locator_map.svg/200px-Rabat_Sale_Kenitra_region_locator_map.svg.png
Lqliaa,"83,235",Souss-Massa,"Lqliâa  is a city in Morocco, situated in the suburban area of Agadir. According to the 2014 Moroccan census it had a population of 83,235 inhabitants, up from the 46,432 inhabitants recorded in the 2004 census.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/250px-Morocco_relief_location_map.jpg
Taroudant,"80,149",Souss-Massa,"Taroudant  is a city in the Sous Valley in south western Morocco. It is situated east of Agadir on the road to Ouarzazate and the Sahara desert and south of Marrakesh. The town is known as the ""Grandmother of Marrakech"" because it looks like a smaller Marrakech with its surrounding ramparts. In the 16th century, the Saadi dynasty briefly used Taroudant as a capital before it moved its royal seat onwards to Marrakesh. Today, the city has the feel of a small fortified market town on a caravan route.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Al_Kassbah%2C_Taroudant%2C_Morocco_-_panoramio.jpg/275px-Al_Kassbah%2C_Taroudant%2C_Morocco_-_panoramio.jpg
Sefrou,"79,887",Fès-Meknès,"Sefrou  is a city in central Morocco situated in the Fès-Meknès region. It recorded a population of 79,887 in the 2014 Moroccan census, up from 63,872 in the 2004 census.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sefrou%2Cmedina.jpg/275px-Sefrou%2Cmedina.jpg
Essaouira,"77,966",Marrakesh-Safi,"Essaouira, known until the 1960s as Mogador, is a port city in the western Moroccan region of Marakesh-Safi, on the Atlantic coast. It has 77,966 inhabitants as of 2014.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg/280px-Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg
Fnideq,"77,436",Tanger-Tetouan-Al Hoceima,"Fnideq  is a town in northern Morocco, on the Mediterranean coast of M'diq-Fnideq Prefecture, 31 kilometres  north of the city of Tétouan. The town is also known under the Spanish name Castillejos. It is the closest Moroccan urban commune to the Spanish exclave of Ceuta, although the rural commune of Belyounech is closer. During the Hispano-Moroccan War of 1859, it was the location of the decisive Battle of Castillejos.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Vista_Parcial_De_Fnideq_Castillejos_Desde_Ceuta_%28158152499%29.jpeg/250px-Vista_Parcial_De_Fnideq_Castillejos_Desde_Ceuta_%28158152499%29.jpeg
Tiznit,"74,699",Souss-Massa,"Tiznit or Tiznet  is a town in the west coast of the Moroccan region of Souss-Massa, founded in 1881 by the Sultan Hassan I. It is the capital of Tiznit Province and recorded a population of 74,699 in the 2014 Moroccan census. Jewish silversmiths moved into the town and established its reputation as the center of gold and silver handicraft in Morocco.  Tiznit is well known for its silver jewelry, mint, daggers and sabres.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Tiznit_Gate.jpg/275px-Tiznit_Gate.jpg
Tan-Tan,"73,209",Guelmim-Oued Noun,"Tan-Tan is a city in Tan-Tan Province in the region of Guelmim-Oued Noun in southwestern Morocco. It is a desert town with a population (2014 census) of 73,209. It is the largest city in the province and second largest city in the region after the capital Guelmim. It is located on the banks of the wadi Oued Ben khelil, which flows into the Draa River 15 kilometres north of the town. The Draa River at 1,100 kilometres is the longest in Morocco and flows into the Atlantic Ocean soon after the confluence with the wadi.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Tan_tan.jpg/250px-Tan_tan.jpg
Ouarzazate,"71,067",Drâa-Tafilalet,"Ouarzazate , nicknamed the door of the desert, is a city and capital of Ouarzazate Province in the region of Drâa-Tafilalet, south-central Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Kasbah_Taourirt_in_Ouarzazate_2011.jpg/280px-Kasbah_Taourirt_in_Ouarzazate_2011.jpg
Souk El Arbaa,"69,265",Rabat-Salé-Kénitra,"Souk El Arbaa  is a town in Kénitra Province, Rabat-Salé-Kénitra, Morocco. In the 2014 Moroccan census it recorded a population of 69,265. According to the 2004 census it had a population of 43,392.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/250px-Morocco_relief_location_map.jpg
Lahraouyine,"64,821",Casablanca-Settat,"Lahraouyine  is a small city and rural commune in Médiouna Province, of the Casablanca-Settat region of Morocco. It recorded a population of 64,821 in the 2014 Moroccan census. At the time of the 2004 census, the commune had a total population of 52,862 people living in 10,806 households.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/250px-Morocco_relief_location_map.jpg
Martil,"64,355",Tanger-Tetouan-Al Hoceima,"Martil  is a town in Tanger-Tetouan-Al Hoceima, Morocco. It is located on the Mediterranean Sea northeast of Tetouan.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Martil_1.jpg/300px-Martil_1.jpg
Ain Harrouda,"62,420",Casablanca-Settat,"Aïn Harrouda  is a city in Morocco, situated 17 km northeast of Casablanca.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/250px-Morocco_relief_location_map.jpg
Suq as-Sabt Awlad an-Nama,"60,076",Béni Mellal-Khénifra,"Souk Sebt Ouled Nemma  is a town in Fquih Ben Salah Province, Béni Mellal-Khénifra, Morocco. It recorded a population of 60,076 in the 2014 Moroccan census, up from 51,049 in the 2004 census.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/300px-Morocco_relief_location_map.jpg
Skhirat,"59,775",Rabat-Salé-Kénitra,Skhirat  is a seaside town in Morocco known for its idyllic beaches on the edge of the Atlantic Ocean.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/GareSkhirate.JPG/250px-GareSkhirate.JPG
Ouazzane,"59,606",Tanger-Tetouan-Al Hoceima,"Ouazzane  is a town in northern Morocco, with a population of 59,606 recorded in the 2014 Moroccan census.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Ouezzane_%283237709401%29.jpg/275px-Ouezzane_%283237709401%29.jpg
Benslimane,"57,101",Casablanca-Settat,"Benslimane is a Moroccan city and the capital of Benslimane Province, Casablanca-Settat. The city was founded by the French in 1907 during the campaign of Morocco, the military establishment was followed by the construction of a residential area for military that developed along the path to Bouznika. Located 60 km from Casablanca, the town is known for its dry climate and for hunting wild boar.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Ville_Benslimane_Maroc.JPG/275px-Ville_Benslimane_Maroc.JPG
Al Hoceima,"56,716",Tanger-Tetouan-Al Hoceima,"Al Hoceima  is a city in the north of Morocco, on the northern edge of the Rif Mountains and on the Mediterranean coast. It is the capital city of the Al Hoceima Province. The city is a known tourist destination despite its small size. It has a population of about 56,716, according to the 2014 census.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Al_Hoceima_Quemado.jpg/300px-Al_Hoceima_Quemado.jpg
Beni Ansar,"56,582",Oriental,"Beni Ansar  is a town in Nador Province, Oriental, Morocco, located 12 km  north of the city of Nador. It is bordered on the north by the Spanish city of Melilla. According to the 2014 census, Beni Ensar has a population of 56,582, and its area is 20 hectares .",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Ait_Nsar%2C_Nador%2C_Morocco.JPG/275px-Ait_Nsar%2C_Nador%2C_Morocco.JPG
M'diq,"56,227",Tanger-Tetouan-Al Hoceima,M'Diq or Medieq  is a Mediterranean town in northern Morocco located between Fnideq and Tétouan. It borders Mellaliyine in the south and Allyene in the west. It is the seat of M'diq-Fnideq Prefecture.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/M%27diq_from_above.jpg/275px-M%27diq_from_above.jpg
Midelt,"55,304",Drâa-Tafilalet,"Midelt  is a town in Morocco, in the high plains between the Middle Atlas and High Atlas mountain ranges. With a population of 55,304 recorded in the 2014 Moroccan census, Midelt serves as the commercial center of a large agricultural hinterland. It is also one of Morocco's principal cities for the mining of several minerals.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Midelt_ayachi.jpg/275px-Midelt_ayachi.jpg
Azrou,"54,350",Fès-Meknès,Azrou  is a Moroccan town 89 kilometres south of Fez in Ifrane Province of the Fès-Meknès region.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Centre_culturel_d%27Azrou-_Neige.jpg/275px-Centre_culturel_d%27Azrou-_Neige.jpg
Drargua,"50,946",Souss-Massa,"Drarga or Drargua is a rural commune and town in western Morocco, situated in the suburban area of Agadir, in the Souss-Massa region. The 2004 census recorded a population of 17,059 inhabitants in the urban centre, which increased to 50,946 inhabitants in the 2014 census. The commune as a whole recorded a population of 126000 in the 2014 census. Located in Drarga is the Agadir Crocodile park tourist attraction.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Morocco_relief_location_map.jpg/250px-Morocco_relief_location_map.jpg
