name,description
El Hedim Square,"A large public square in Meknes, often compared to Jemaa el-Fnaa, known for its lively atmosphere and surrounding historical sites."
Bab Mansour,"A grand gate in Meknes, famous for its intricate decoration and considered one of the most beautiful gates in Morocco."
Bou Inania Madrasa,"A 14th-century Islamic school in Meknes, known for its stunning architecture, intricate tile work, and historical educational significance."
Borj Sirat,"A historic fortress in Morocco, notable for its military architecture and strategic importance."
Fortifications of Rabat,"Ancient walls and gates surrounding Rabat, built to protect the city and showcasing impressive historical architecture."
Medina of Rabat,"The old town of Rabat, featuring narrow streets, traditional markets, and historical buildings, reflecting the city's rich heritage."
Mausoleum of Mohammed V,"A mausoleum in Rabat housing the tombs of King Mohammed V and his sons, known for its stunning architecture and historical significance."
Chellah,"A medieval fortified necropolis in Rabat, featuring ruins from Roman and Islamic periods, set in a lush garden environment."
Botanical Garden of Rabat,"A public garden in Rabat, offering a variety of plant species, peaceful pathways, and educational exhibits on local flora."
Kasbah of the Udayas,"A historic kasbah in Rabat, known for its white-and-blue painted streets, Andalusian gardens, and views of the Bouregreg River."
Agency for the Development of the Bouregreg Valley,"An organization focused on urban development and revitalization of the Bouregreg River valley area between Rabat and Salé."
St. Peter's Cathedral (Rabat),"A Roman Catholic cathedral in Rabat, notable for its Art Deco architecture and serving as a key place of worship."
Rabat-City Train Station,"The main railway station in Rabat, providing transport connections and featuring a blend of modern and traditional architectural elements."
Sea Castle,"A historic coastal fortress in Rabat, offering views of the Atlantic Ocean and significant for its defensive role in the past."
Sidi Mohammed Salih,"A historic site or shrine in Morocco, often visited for its cultural and religious significance."
Borj Ed-dar (Safi),"A historic fortification in Safi, known for its defensive architecture and views over the surrounding area."
Souira Qedima Kasbah,"An ancient kasbah in Morocco, notable for its historical importance and traditional architectural style."
Safi Medina,"The old town of Safi, featuring traditional markets, historical buildings, and a rich cultural heritage."
Potters' Quarter,"A famous district in Safi, known for its traditional pottery workshops and vibrant artisan community."
Ben Hamidouch Kasba,"A historical kasbah in Morocco, notable for its traditional architecture and cultural significance."
Kasbah of Ayyir,"A historic fortress in Morocco, significant for its strategic location and traditional military architecture."
El Ablat Borj,"A historic tower in Morocco, notable for its defensive purpose and architectural features."
Borj Souira El Kadima,"A historic fort in Morocco, recognized for its role in regional defense and its architectural heritage."
Caves of Hercules (Tangier),"A famous cave complex near Tangier, known for its stunning sea views and mythological significance associated with Hercules."
Petit Socco,"A small square in the Medina of Tangier, historically a meeting place for merchants and now a bustling area with cafés and shops."
Cape Spartel Lighthouse,"A historic lighthouse located at the entrance of the Strait of Gibraltar, offering panoramic views of the Atlantic Ocean and Mediterranean Sea."
Tangier Cathedral,"Also known as St. Andrew's Church, an Anglican cathedral in Tangier, known for its unique blend of Moorish and Gothic architectural styles."
Dar el Makhzen (Tangier),"A historic palace in Tangier that now houses a museum showcasing Moroccan art, artifacts, and archaeological finds."
Grand Socco,"A large public square in Tangier, serving as a major social and commercial hub, connecting the old Medina with the modern city."
Borj Es-Salam,"A historic fortification in Tangier, notable for its military architecture and strategic location overlooking the city."
Abraham Toledano Synagogue,"A historic synagogue in Tangier, reflecting the rich Jewish heritage and history of the city."
Church of the Immaculate Conception,"A Catholic church in Tangier, known for its architectural beauty and its role as a place of worship for the local Catholic community."
Bab El Bhar (Tangier),"A historic gate in Tangier, part of the city's ancient fortifications, offering insight into its defensive architecture."
